pair_ID	entailment_judgment	label	prediction	prediction_scores	target_scores
281	NEUTRAL	0	0	4.0	3.3316603
282	ENTAILMENT	1	0	4.6	3.342164
284	ENTAILMENT	1	0	4.7	3.6566656
288	NEUTRAL	0	0	3.8	3.4293513
290	NEUTRAL	0	0	3.0	3.445869
292	NEUTRAL	0	0	3.285	3.594268
294	NEUTRAL	0	0	3.8	3.276902
295	NEUTRAL	0	0	2.9	3.0539594
297	NEUTRAL	0	0	2.3	3.7263486
298	NEUTRAL	0	0	1.8	3.3140833
299	NEUTRAL	0	0	3.2	3.7448018
300	ENTAILMENT	1	0	4.7	3.8583107
306	NEUTRAL	0	0	3.1	3.713498
307	NEUTRAL	0	0	3.5	3.310914
308	NEUTRAL	0	0	3.2	3.6041427
314	CONTRADICTION	2	0	3.8	3.650094
316	NEUTRAL	0	0	1.6	3.6980617
318	NEUTRAL	0	0	1.7	3.6819282
319	NEUTRAL	0	0	1.8	3.4754338
320	NEUTRAL	0	0	1.0	3.7373023
321	NEUTRAL	0	0	1.9	3.6980097
322	ENTAILMENT	1	0	4.7	3.617525
324	ENTAILMENT	1	0	4.4	3.3811977
325	CONTRADICTION	2	0	4.1	3.3727517
326	NEUTRAL	0	0	2.3	3.3329825
328	NEUTRAL	0	0	1.4	3.353088
330	NEUTRAL	0	0	1.3	3.3562562
334	NEUTRAL	0	0	3.1	3.4938982
336	ENTAILMENT	1	0	4.4	3.5201151
337	ENTAILMENT	1	0	3.8	3.5181344
343	ENTAILMENT	1	0	4.8	3.7901697
345	NEUTRAL	0	0	3.5	3.7841427
348	NEUTRAL	0	0	2.6	3.5845802
349	NEUTRAL	0	0	2.1	3.8896196
350	NEUTRAL	0	0	3.2	3.6957426
352	CONTRADICTION	2	0	3.9	3.649972
353	NEUTRAL	0	0	3.2	3.7628717
355	CONTRADICTION	2	0	3.5	3.67308
356	NEUTRAL	0	0	4.2	3.3912485
357	CONTRADICTION	2	0	3.1	3.6099424
359	NEUTRAL	0	0	3.9	3.7158077
364	ENTAILMENT	1	0	4.9	3.7271557
365	NEUTRAL	0	0	4.4	3.7362542
368	NEUTRAL	0	0	3.8	3.7332163
369	NEUTRAL	0	0	2.8	3.6356654
371	ENTAILMENT	1	0	4.3	3.5889275
376	NEUTRAL	0	0	2.4	3.5869286
383	NEUTRAL	0	0	3.935	3.641583
385	NEUTRAL	0	0	4.0	3.61529
386	NEUTRAL	0	0	4.0	3.7003908
388	NEUTRAL	0	0	3.6	3.6781025
389	NEUTRAL	0	0	3.4	3.734456
399	NEUTRAL	0	0	2.7	3.4314501
400	NEUTRAL	0	0	3.2	3.473472
401	NEUTRAL	0	0	3.7	3.6201048
405	NEUTRAL	0	0	3.5	3.1414754
406	ENTAILMENT	1	0	3.6	3.4939728
407	NEUTRAL	0	0	1.8	3.1373823
408	ENTAILMENT	1	0	4.1	3.4822063
411	ENTAILMENT	1	0	4.9	3.4963999
412	NEUTRAL	0	0	3.3	3.4691727
414	ENTAILMENT	1	0	4.7	3.614874
416	NEUTRAL	0	0	3.8	3.551966
418	NEUTRAL	0	0	3.2	3.6422455
419	NEUTRAL	0	0	3.9	3.6150646
420	NEUTRAL	0	0	2.2	3.6143537
421	NEUTRAL	0	0	3.7	3.6168017
424	ENTAILMENT	1	0	4.5	3.3346565
425	CONTRADICTION	2	0	3.4	3.468442
426	NEUTRAL	0	0	3.6	3.4856794
429	NEUTRAL	0	0	2.6	3.2002227
430	NEUTRAL	0	0	3.9	3.353549
431	CONTRADICTION	2	0	3.6	3.2742245
432	ENTAILMENT	1	0	4.4	3.4836724
433	ENTAILMENT	1	0	4.9	3.720013
437	NEUTRAL	0	0	2.8	3.4384696
443	NEUTRAL	0	0	3.8	3.402527
444	NEUTRAL	0	0	3.2	3.5016456
445	ENTAILMENT	1	0	4.6	3.5443964
448	NEUTRAL	0	0	3.6	3.3362217
452	NEUTRAL	0	0	4.0	3.5647783
453	ENTAILMENT	1	0	4.6	3.3609436
455	ENTAILMENT	1	0	4.2	3.3308516
456	CONTRADICTION	2	0	3.3	3.5804422
458	NEUTRAL	0	0	2.4	3.317405
459	NEUTRAL	0	0	2.5	3.681124
460	NEUTRAL	0	0	2.4	3.3097558
463	CONTRADICTION	2	0	3.2	3.4893072
464	NEUTRAL	0	0	3.5	3.429617
466	CONTRADICTION	2	0	4.8	3.6297798
467	NEUTRAL	0	0	3.3	3.3628721
468	NEUTRAL	0	0	2.8	3.6406243
469	ENTAILMENT	1	0	4.5	3.6552007
471	NEUTRAL	0	0	2.7	3.668365
472	NEUTRAL	0	0	3.8	3.6684554
474	CONTRADICTION	2	0	3.035	3.5857716
478	CONTRADICTION	2	0	4.085	3.6525218
479	NEUTRAL	0	0	4.0	3.3216712
480	CONTRADICTION	2	0	3.6	3.5481265
481	ENTAILMENT	1	0	4.5	3.729047
482	ENTAILMENT	1	0	4.7	3.4885755
483	NEUTRAL	0	0	2.5	3.4950604
487	NEUTRAL	0	0	2.95	3.4428167
488	NEUTRAL	0	0	3.8	3.3233528
490	NEUTRAL	0	0	3.7	3.325189
492	CONTRADICTION	2	0	3.3	3.7524562
493	NEUTRAL	0	0	2.4	3.6524608
495	NEUTRAL	0	0	3.9	3.6657677
498	NEUTRAL	0	0	3.7	3.7086806
501	NEUTRAL	0	0	3.3	3.6989765
502	ENTAILMENT	1	0	4.5	3.575133
503	CONTRADICTION	2	0	3.45	3.5330338
504	NEUTRAL	0	0	3.7	3.5638943
509	NEUTRAL	0	0	2.8	3.6494775
510	NEUTRAL	0	0	2.4	3.5556374
511	NEUTRAL	0	0	3.0	3.4444592
512	NEUTRAL	0	0	3.0	3.442113
517	NEUTRAL	0	0	2.8	3.326555
518	ENTAILMENT	1	0	4.7	3.6841795
519	CONTRADICTION	2	0	4.0	3.6820786
521	NEUTRAL	0	0	3.0	3.5543716
523	NEUTRAL	0	0	2.7	3.485171
525	NEUTRAL	0	0	2.5	3.5510702
532	CONTRADICTION	2	0	3.1	3.5063047
533	NEUTRAL	0	0	3.4	3.6354022
534	NEUTRAL	0	0	3.5	3.4682984
536	NEUTRAL	0	0	2.4	3.6246173
537	NEUTRAL	0	0	3.3	3.692683
539	NEUTRAL	0	0	2.3	3.5921977
540	NEUTRAL	0	0	3.3	3.5111814
543	NEUTRAL	0	0	3.0	3.716416
544	ENTAILMENT	1	0	4.6	3.719777
546	NEUTRAL	0	0	3.1	3.4276378
547	NEUTRAL	0	0	2.685	3.908726
549	NEUTRAL	0	0	3.5	3.7627802
553	NEUTRAL	0	0	2.9	3.5935602
554	ENTAILMENT	1	0	4.4	3.636517
558	NEUTRAL	0	0	3.8	3.6317775
559	NEUTRAL	0	0	3.1	3.7349427
562	NEUTRAL	0	0	2.5	3.7675054
563	NEUTRAL	0	0	3.6	3.6039512
566	NEUTRAL	0	0	3.9	3.6138666
567	ENTAILMENT	1	0	5.0	3.550474
569	NEUTRAL	0	0	2.9	3.7411969
571	CONTRADICTION	2	0	2.6	3.6330695
572	NEUTRAL	0	0	3.6	3.5915663
573	NEUTRAL	0	0	3.8	3.646122
574	NEUTRAL	0	0	3.1	3.7008643
575	NEUTRAL	0	0	2.3	3.6101701
576	NEUTRAL	0	0	4.0	3.703572
577	NEUTRAL	0	0	3.5	3.6967835
578	NEUTRAL	0	0	2.5	3.673548
579	NEUTRAL	0	0	3.7	3.6471496
580	ENTAILMENT	1	0	4.9	3.6777203
582	NEUTRAL	0	0	3.6	3.5239012
583	ENTAILMENT	1	0	4.9	3.6993623
584	CONTRADICTION	2	0	4.3	3.704355
585	ENTAILMENT	1	0	3.8	3.6035376
589	NEUTRAL	0	0	3.4	3.525506
590	ENTAILMENT	1	0	4.2	3.6773705
591	ENTAILMENT	1	0	4.3	3.3821137
593	ENTAILMENT	1	0	4.9	3.463897
594	CONTRADICTION	2	0	3.8	3.4058855
595	NEUTRAL	0	0	3.6	3.754465
596	NEUTRAL	0	0	2.4	3.5833356
598	NEUTRAL	0	0	3.2	3.3412664
600	ENTAILMENT	1	0	5.0	3.7409413
602	NEUTRAL	0	0	2.8	3.7077043
607	NEUTRAL	0	0	3.2	3.6894567
608	NEUTRAL	0	0	1.915	3.7533648
610	NEUTRAL	0	0	2.0	3.7049465
612	ENTAILMENT	1	0	3.0	3.672119
613	ENTAILMENT	1	0	4.9	3.457386
614	CONTRADICTION	2	0	3.935	3.456322
615	NEUTRAL	0	0	4.2	3.4735653
616	ENTAILMENT	1	0	5.0	3.3797722
618	NEUTRAL	0	0	2.8	3.5454624
620	NEUTRAL	0	0	2.6	3.563047
623	NEUTRAL	0	0	3.0	3.5272071
624	NEUTRAL	0	0	3.4	3.6826465
627	NEUTRAL	0	0	3.3	3.6774936
633	NEUTRAL	0	0	3.0	3.5240235
635	NEUTRAL	0	0	4.2	3.8000011
636	NEUTRAL	0	0	2.9	3.8440344
639	ENTAILMENT	1	0	4.9	3.512556
640	NEUTRAL	0	0	3.3	3.5949748
642	ENTAILMENT	1	0	5.0	3.8450332
644	NEUTRAL	0	0	3.4	3.630488
652	ENTAILMENT	1	0	4.8	3.5190957
654	NEUTRAL	0	0	3.3	3.569802
656	NEUTRAL	0	0	4.0	3.6777825
658	NEUTRAL	0	0	4.3	3.5569687
659	NEUTRAL	0	0	3.4	3.6586304
662	NEUTRAL	0	0	3.9	3.467198
664	NEUTRAL	0	0	4.2	3.6357694
665	ENTAILMENT	1	0	4.8	3.7337687
666	NEUTRAL	0	0	3.5	3.6676512
667	ENTAILMENT	1	0	4.9	3.730931
669	NEUTRAL	0	0	2.4	3.7790911
670	NEUTRAL	0	0	4.065	3.6607945
673	ENTAILMENT	1	0	4.1	3.7272358
674	CONTRADICTION	2	0	3.3	3.6925087
675	ENTAILMENT	1	0	4.4	3.6643107
677	CONTRADICTION	2	0	3.6	3.7120845
681	NEUTRAL	0	0	3.1	3.8336425
682	NEUTRAL	0	0	3.9	3.5160058
683	NEUTRAL	0	0	3.4	3.6916203
684	NEUTRAL	0	0	2.9	3.6114392
686	NEUTRAL	0	0	3.5	3.5177028
688	NEUTRAL	0	0	4.4	3.691925
694	NEUTRAL	0	0	3.9	3.5543177
695	NEUTRAL	0	0	3.4	3.6765804
700	NEUTRAL	0	0	2.1	3.693869
701	NEUTRAL	0	0	2.5	3.681482
705	ENTAILMENT	1	0	4.6	3.498427
706	CONTRADICTION	2	0	3.585	3.5041986
707	NEUTRAL	0	0	3.5	3.4936204
708	NEUTRAL	0	0	3.6	3.6825304
710	NEUTRAL	0	0	2.8	3.481858
711	NEUTRAL	0	0	3.0	3.5183275
712	NEUTRAL	0	0	3.9	3.5163264
713	ENTAILMENT	1	0	5.0	3.4576113
714	NEUTRAL	0	0	3.1	3.4033082
716	ENTAILMENT	1	0	4.1	3.806493
719	NEUTRAL	0	0	3.1	3.483746
720	NEUTRAL	0	0	2.1	3.4500616
721	NEUTRAL	0	0	3.1	3.5145402
724	NEUTRAL	0	0	3.4	3.7571974
726	ENTAILMENT	1	0	4.9	3.669209
739	NEUTRAL	0	0	3.2	3.7819679
740	ENTAILMENT	1	0	4.8	3.5684505
742	NEUTRAL	0	0	2.9	3.4730458
743	ENTAILMENT	1	0	4.1	3.815309
744	NEUTRAL	0	0	3.9	3.5177765
750	ENTAILMENT	1	0	4.3	3.6998055
751	CONTRADICTION	2	0	2.3	3.6757853
753	CONTRADICTION	2	0	4.4	3.8444345
755	NEUTRAL	0	0	3.1	3.8643703
756	NEUTRAL	0	0	2.9	3.6345575
758	ENTAILMENT	1	0	3.9	3.832839
763	NEUTRAL	0	0	4.2	3.7091832
767	NEUTRAL	0	0	2.7	3.5581336
770	NEUTRAL	0	0	3.6	3.7064185
771	NEUTRAL	0	0	3.6	3.5708122
773	NEUTRAL	0	0	3.5	3.5564976
775	NEUTRAL	0	0	3.6	3.41589
776	NEUTRAL	0	0	2.8	3.5031126
778	NEUTRAL	0	0	3.685	3.4555044
779	NEUTRAL	0	0	3.0	3.4527988
781	ENTAILMENT	1	0	4.3	3.6462977
782	CONTRADICTION	2	0	3.75	3.6290345
786	NEUTRAL	0	0	2.3	3.7627246
787	NEUTRAL	0	0	3.2	3.6134865
788	NEUTRAL	0	0	3.5	3.8180122
790	NEUTRAL	0	0	3.65	3.627239
794	ENTAILMENT	1	0	4.6	3.6441631
795	NEUTRAL	0	0	3.8	3.378362
798	CONTRADICTION	2	0	3.8	3.436447
800	NEUTRAL	0	0	2.5	3.682816
801	NEUTRAL	0	0	2.1	3.2481985
803	NEUTRAL	0	0	2.6	3.2352908
805	ENTAILMENT	1	0	4.9	3.7517943
806	CONTRADICTION	2	0	3.2	3.753338
807	ENTAILMENT	1	0	4.6	3.7865977
808	ENTAILMENT	1	0	4.6	3.8288574
809	CONTRADICTION	2	0	3.9	3.473908
810	NEUTRAL	0	0	2.6	3.777644
814	NEUTRAL	0	0	2.4	3.6271632
815	NEUTRAL	0	0	3.0	3.750121
817	NEUTRAL	0	0	3.5	3.5564888
818	ENTAILMENT	1	0	4.8	3.807288
819	CONTRADICTION	2	0	3.6	3.8068714
821	NEUTRAL	0	0	2.4	3.5935867
823	NEUTRAL	0	0	2.7	3.8932395
826	NEUTRAL	0	0	2.7	3.5793662
828	CONTRADICTION	2	0	3.1	3.7668643
829	ENTAILMENT	1	0	4.4	3.677005
832	NEUTRAL	0	0	3.7	3.7196743
833	NEUTRAL	0	0	3.4	3.745716
834	NEUTRAL	0	0	3.0	3.54748
835	NEUTRAL	0	0	2.9	3.7368934
837	NEUTRAL	0	0	3.8	3.7499013
838	NEUTRAL	0	0	3.4	3.6709135
840	ENTAILMENT	1	0	4.8	3.3167703
842	NEUTRAL	0	0	3.2	3.5752578
843	NEUTRAL	0	0	4.2	3.295478
847	NEUTRAL	0	0	2.7	3.5381358
849	NEUTRAL	0	0	3.1	3.4596448
850	NEUTRAL	0	0	2.7	3.5326762
853	ENTAILMENT	1	0	4.4	3.603549
854	CONTRADICTION	2	0	3.2	3.578929
856	ENTAILMENT	1	0	4.7	3.8328614
861	NEUTRAL	0	0	3.2	3.8312383
863	NEUTRAL	0	0	4.1	3.603524
865	CONTRADICTION	2	0	3.5	3.603973
871	NEUTRAL	0	0	3.6	3.7303987
875	ENTAILMENT	1	0	4.5	3.6214626
877	ENTAILMENT	1	0	4.5	3.480826
884	NEUTRAL	0	0	2.7	3.5831654
885	NEUTRAL	0	0	3.3	3.7235494
886	NEUTRAL	0	0	3.8	3.5984943
890	ENTAILMENT	1	0	4.3	3.600145
891	CONTRADICTION	2	0	3.6	3.3451192
894	ENTAILMENT	1	0	3.8	3.9300299
896	NEUTRAL	0	0	3.2	3.4185214
897	CONTRADICTION	2	0	3.7	3.923022
900	CONTRADICTION	2	0	4.0	3.5400271
901	NEUTRAL	0	0	3.6	3.646209
903	NEUTRAL	0	0	3.6	3.6682963
905	NEUTRAL	0	0	3.6	3.6284945
907	NEUTRAL	0	0	2.6	3.5679803
911	NEUTRAL	0	0	3.7	3.6295455
912	ENTAILMENT	1	0	4.9	3.093445
914	ENTAILMENT	1	0	4.4	3.256554
916	NEUTRAL	0	0	3.8	3.794327
918	NEUTRAL	0	0	1.1	3.2404015
919	NEUTRAL	0	0	3.15	3.7318904
921	NEUTRAL	0	0	3.1	3.2244327
923	ENTAILMENT	1	0	4.4	3.7634964
924	CONTRADICTION	2	0	2.4	3.9420948
925	NEUTRAL	0	0	2.965	3.6124265
926	ENTAILMENT	1	0	4.9	3.9777713
928	NEUTRAL	0	0	4.0	3.8986738
929	NEUTRAL	0	0	3.8	3.8794174
930	ENTAILMENT	1	0	3.8	3.8631682
934	ENTAILMENT	1	0	4.6	3.8249745
937	ENTAILMENT	1	0	4.9	3.706624
938	NEUTRAL	0	0	4.0	3.7175019
939	NEUTRAL	0	0	3.4	3.718985
941	NEUTRAL	0	0	3.2	3.8156285
942	NEUTRAL	0	0	2.6	3.7681382
946	NEUTRAL	0	0	3.8	3.804442
951	CONTRADICTION	2	0	2.8	3.3059726
952	NEUTRAL	0	0	3.9	3.4927673
954	NEUTRAL	0	0	3.0	3.0748641
955	NEUTRAL	0	0	3.3	3.4704957
958	NEUTRAL	0	0	3.0	3.598445
964	CONTRADICTION	2	0	3.7	3.4700265
965	ENTAILMENT	1	0	4.8	3.394043
966	ENTAILMENT	1	0	3.5	3.5834389
968	NEUTRAL	0	0	3.5	3.4913661
969	ENTAILMENT	1	0	3.9	3.5848022
971	NEUTRAL	0	0	1.9	3.3381166
972	ENTAILMENT	1	0	3.765	3.5836654
974	CONTRADICTION	2	0	4.0	3.536243
976	ENTAILMENT	1	0	4.5	3.6323879
977	ENTAILMENT	1	0	3.8	3.5952303
981	NEUTRAL	0	0	2.2	3.6660528
982	NEUTRAL	0	0	3.1	3.7060475
983	NEUTRAL	0	0	2.6	3.5314353
986	ENTAILMENT	1	0	4.6	3.8667746
990	CONTRADICTION	2	0	4.1	3.6870065
992	NEUTRAL	0	0	2.4	3.8562224
993	NEUTRAL	0	0	3.0	3.8556473
995	NEUTRAL	0	0	3.0	3.6998916
997	NEUTRAL	0	0	1.5	3.5626836
999	ENTAILMENT	1	0	4.7	3.507724
1001	ENTAILMENT	1	0	4.8	3.417858
1003	NEUTRAL	0	0	3.1	3.4429011
1005	NEUTRAL	0	0	2.3	3.478507
1006	NEUTRAL	0	0	2.2	3.5035594
1011	ENTAILMENT	1	0	4.7	3.7078598
1012	NEUTRAL	0	0	3.2	3.6315231
1013	NEUTRAL	0	0	3.4	3.5636916
1014	NEUTRAL	0	0	3.5	3.7708035
1015	NEUTRAL	0	0	2.9	3.5651922
1017	NEUTRAL	0	0	3.3	3.7508461
1020	NEUTRAL	0	0	3.6	3.6406956
1023	NEUTRAL	0	0	2.6	3.506969
1024	ENTAILMENT	1	0	4.8	3.8150032
1025	CONTRADICTION	2	0	3.4	3.7723353
1027	NEUTRAL	0	0	2.4	3.790923
1030	NEUTRAL	0	0	2.0	3.8361862
1032	ENTAILMENT	1	0	5.0	3.8360827
1034	NEUTRAL	0	0	3.5	3.8315802
1035	ENTAILMENT	1	0	4.5	3.7733161
1036	CONTRADICTION	2	0	3.6	3.7734487
1040	NEUTRAL	0	0	2.9	3.6564963
1041	ENTAILMENT	1	0	4.0	3.762969
1042	NEUTRAL	0	0	3.4	3.7153552
1051	NEUTRAL	0	0	2.9	3.7442486
1056	NEUTRAL	0	0	2.9	3.8065503
1058	ENTAILMENT	1	0	4.9	3.881784
1059	CONTRADICTION	2	0	3.5	3.9045448
1060	NEUTRAL	0	0	3.7	3.7439127
1062	CONTRADICTION	2	0	3.6	3.570942
1063	NEUTRAL	0	0	3.5	3.7214072
1066	NEUTRAL	0	0	2.6	3.8972073
1067	NEUTRAL	0	0	3.4	3.7488213
1070	NEUTRAL	0	0	3.8	3.7486827
1071	ENTAILMENT	1	0	4.5	3.8943732
1072	NEUTRAL	0	0	2.8	3.78814
1073	ENTAILMENT	1	0	4.9	3.9238997
1075	ENTAILMENT	1	0	4.5	3.8540397
1077	NEUTRAL	0	0	3.7	3.7881691
1078	NEUTRAL	0	0	3.6	3.8614278
1079	NEUTRAL	0	0	4.2	3.9567208
1081	NEUTRAL	0	0	4.1	3.9582067
1085	ENTAILMENT	1	0	4.4	3.6769261
1086	NEUTRAL	0	0	2.6	3.684251
1089	NEUTRAL	0	0	3.5	3.7884548
1098	ENTAILMENT	1	0	4.4	3.2019644
1100	NEUTRAL	0	0	1.0	3.4887853
1101	NEUTRAL	0	0	1.0	3.2480736
1103	NEUTRAL	0	0	1.1	3.2010036
1106	ENTAILMENT	1	0	4.3	3.5592258
1107	CONTRADICTION	2	0	3.4	3.5211143
1110	CONTRADICTION	2	0	2.6	3.4339736
1113	NEUTRAL	0	0	1.5	3.5944095
1114	NEUTRAL	0	0	1.1	3.585781
1116	NEUTRAL	0	0	1.5	3.3917603
1121	ENTAILMENT	1	0	4.5	3.48857
1123	ENTAILMENT	1	0	4.0	3.680908
1124	CONTRADICTION	2	0	4.1	3.4146297
1126	ENTAILMENT	1	0	4.5	3.1025543
1127	CONTRADICTION	2	0	3.4	3.2354584
1130	CONTRADICTION	2	0	4.0	3.3207219
1131	CONTRADICTION	2	0	3.8	3.2851605
1132	NEUTRAL	0	0	4.0	3.18211
1134	NEUTRAL	0	0	3.2	3.4374588
1136	NEUTRAL	0	0	3.4	3.3122427
1138	NEUTRAL	0	0	3.8	3.1795747
