price	worth
furrow	trench
trick	device
bruise	damage
think	concentrate
extension	stretch
pearl	gather
evil	transgression
stepson	stepchild
intern	doctor
ruin	thwart
overhaul	regenerate
airline	hose
regulation	dominance
tank	store
chop	move
encouragement	hope
yacht	boat
hardship	misfortune
dazzle	amaze
equilibrium	proprioception
pillow	put
drop	drug
archive	collect
spaniard	european
medalist	golfer
reckon	bill
incriminate	suggest
overlap	cover
diagonal	line
carton	box
shoot	attempt
develop	grow
calendar	table
capitalize	calculate
paddock	pen
check	attack
corrective	device
performer	entertainer
cut	design
deliverable	product
waist	area
manna	sap
orgy	rite
class	collection
disorder	state
contraction	word
burberry	raincoat
whet	stimulate
antagonist	drug
spit	skewer
scorch	dry
rocker	adolescent
drop	change
rampage	act
schoolyard	yard
preempt	supplant
catch	witness
combine	union
authority	control
see	think
crate	box
bow	weapon
turkey	flop
genius	creativity
ladder	degree
dorian	citizenry
mistreatment	practice
join	connect
mackintosh	fabric
illuminate	decorate
propagate	transmit
cherokee	iroquoian
affirmative	avowal
curse	raise
extremity	region
discretion	sagacity
uncle	kinsman
hundredth	rank
airspace	atmosphere
wear	deteriorate
circumference	size
supplement	constitute
protection	extortion
errand	trip
mode	condition
parcel	divide
yaw	deviate
stylist	artist
cooper	craftsman
convocation	gather
earshot	range
auction	sale
subscription	agreement
penthouse	apartment
scoreboard	signboard
rest	pause
roll	pronounce
dark	unenlightenment
bong	sound
combination	collection
fidelity	accuracy
terrain	tract
drone	pipe
magic	supernaturalism
juggle	rearrangement
place	rank
handful	containerful
ballpoint	pen
cornet	brass
dish	nutriment
lag	flip
mousse	toiletry
stump	perplex
stick	butter
occupation	acquire
flush	water
shortness	lowness
disk	plate
breakdown	analysis
aperture	open
hurl	throw
prostitute	woman
clear	pass
checkmate	beat
pit	corrosion
racism	bias
regalia	gear
checkerboard	board
decoration	artifact
seaweed	alga
staff	symbol
sleeper	saboteur
treasury	depository
balmoral	shoe
strawberry	birthmark
odds	likelihood
bull	policeman
nan	bread
flight	trip
mire	bog
promote	change
reunify	unite
spat	hit
commission	operation
blackmail	extortion
vote	choice
kite	hawk
fellow	member
discover	gestate
dove	pacifist
tournament	contest
crimson	red
appraisal	estimate
temperance	restraint
incursion	entrance
searchlight	light
hyperbole	trope
delinquency	nonpayment
trademark	file
stub	hit
cram	study
clamp	fasten
elbow	bend
art	creation
folly	play
pole	rod
strangulation	disorder
fall	kill
carbine	rifle
clue	wind
academy	institution
truss	tie
understand	believe
complicity	guilt
prevail	exist
beat	shape
infancy	immaturity
aromatherapy	therapy
roach	hairdo
minister	work
contempt	disrespect
alliance	connection
gunpowder	explosive
whirlwind	windstorm
capture	change
censor	counterintelligence
extra	edition
model	sculpture
dependability	responsibility
insight	sensibility
bombard	attack
department	sector
kink	difficulty
diplomacy	negotiation
eviction	compulsion
libel	defamation
tear	cry
cannery	factory
olive	relish
godfather	godparent
cricketer	athlete
turban	headdress
gatherer	person
volunteer	act
offset	print
malaysian	malay
advantage	asset
drumhead	membrane
combine	contribute
deck	porch
cut	free
deploy	spread
urinate	excrete
overcharge	charge
tense	affect
compromise	accommodation
toboggan	sled
draw	necessitate
bifurcation	branch
pickup	collection
test	be
contagion	communication
vocabulary	cognition
tip	end
shower	party
toupee	hairpiece
handicap	advantage
exodus	escape
grade	ablaut
reversal	judgment
jumper	jacket
soar	rise
label	designate
normalize	change
market	industry
saddle	burden
pea	legume
hopper	receptacle
kappa	letter
butch	lesbian
excuse	request
orient	lie
matrix	enclosure
run	administration
translate	move
version	turn
pump	supply
finisher	painter
drift	passageway
bowel	center
distance	size
sound	sensation
land	object
warship	ship
card	cardboard
wesleyan	methodist
newfoundland	dog
wave	gesture
brainwash	persuade
advent	season
sura	section
broaden	increase
festival	celebration
horn	noisemaker
temple	build
delinquency	misbehavior
crucifixion	execution
instruction	code
advance	sum
host	entertain
rib	bone
net	fabric
range	arrange
erode	damage
complicate	change
magazine	press
pali	prakrit
single	hit
attach	join
dogfight	battle
murderer	criminal
cable	telecommunicate
genome	order
quartz	mineral
disregard	mistreatment
hum	sound
endow	enable
affiliate	join
finance	credit
regulate	decide
shona	bantu
commune	covenant
interlocutor	conversationalist
compartment	space
affiliate	organization
illiterate	ignoramus
actuator	mechanism
dramatization	write
guide	direct
repellent	compound
photocopy	copy
trailblazer	scout
kindle	ignite
neutrality	ph
steam	vapor
decelerate	decrease
compel	induce
protectorate	district
defense	protection
engineer	operator
choke	suffocation
reappearance	appearance
barber	hairdresser
confucian	believer
coat	dress
dictate	govern
immolation	sacrifice
sprout	grow
fistfight	contend
chair	seat
dive	descend
resemblance	likeness
attend	listen
agitate	disturb
aversion	avoidance
copper	conductor
vision	imagination
erotic	sensualist
machine	person
crossfire	fire
desert	tract
ligament	attachment
execute	enforce
racer	car
glare	brightness
diagnosis	designation
bow	gesture
launder	wash
loom	weave
bypass	avoid
tide	float
surprise	change
continue	act
scorer	lumberman
demonstrator	reformer
natural	achiever
decorate	change
close	move
seize	hook
dutch	nation
attack	operation
heritage	practice
label	radioisotope
clapboard	cover
jerk	push
analysis	reason
move	change
track	groove
intersection	join
huckleberry	shrub
transplant	insert
reconvene	convene
envelop	cover
mold	edge
crumb	morsel
cayenne	capsicum
afghan	blanket
fault	crack
scar	symptom
fiber	material
server	computer
tithe	levy
trespass	wrongdoing
livery	uniform
depth	degree
numbness	symptom
eagle	score
sidestep	step
invalid	remove
flip	propel
narrator	speaker
entree	course
access	code
weed	garment
cup	containerful
retention	possession
reformer	disputant
dinner	meal
cradle	hold
court	residence
read	indicate
heel	end
transom	crosspiece
transgression	wrongdoing
broaden	development
search	operation
workspace	space
variety	difference
hood	cover
overcharge	cheat
pour	crowd
refurbish	regenerate
clutch	brood
shingle	rock
reassure	assure
part	object
paradigm	inflection
representation	cooperation
orthodoxy	unoriginality
retract	pull
glow	feel
sinker	pitch
apparatus	equipment
mother	yeast
convention	assembly
berber	afroasiatic
deployment	preparation
colloquy	conversation
reciprocate	act
accent	pronunciation
react	act
poison	kill
gown	university
seal	affix
ruffle	fold
newsroom	office
lance	pierce
loss	failure
contact	representative
womanhood	position
end	morpheme
steal	baseball
chatter	noise
drink	help
hurdle	vault
heart	whist
mahogany	wood
transsexual	person
forfeit	abandon
stepmother	stepparent
aggravation	intensification
arbitration	judgment
wolf	eat
freeze	solidify
tomorrow	day
gusto	enthusiasm
lyre	harp
tie	cord
censor	official
call	challenge
buck	react
casualty	victim
callus	harden
taxi	reaction
ride	travel
bye	concession
buff	modify
dieter	person
yard	field
spread	cover
admonish	knock
shadow	recourse
absurdity	folly
slate	intend
box	containerful
remuneration	payment
canopy	fabric
cat	flog
carry	grow
search	examine
crest	line
aim	goal
streak	flash
attrition	friction
contractor	party
skyline	outline
synchronize	arrange
translate	transmit
post	install
nebula	symptom
chocolate	food
cut	move
islamophobia	bias
homicide	kill
landslide	slide
belgian	european
mugger	robber
i	letter
muse	source
dulcimer	zither
sod	guy
suggestion	persuasion
footprint	trace
muster	gather
carousel	ride
elapse	advance
circulate	publicize
absurd	situation
gantry	framework
synchronize	adjust
consult	research
cofounder	founder
frigate	warship
struggle	attempt
parcel	allotment
interrogate	air
reimburse	refund
junkyard	yard
solicitor	petitioner
deadlock	situation
backwoods	country
approach	movement
infection	incident
prejudice	disadvantage
avalanche	descend
carrot	herb
steam	anger
parity	conservation
good	quality
master	officer
meal	foodstuff
homelessness	condition
voice	singer
invocation	prayer
witness	watch
platform	document
censor	deletion
ambiance	environment
landmark	structure
recall	call
cream	beat
reel	film
expression	squeeze
execution	process
sector	tract
bend	ordinary
expedite	help
amnesty	pardon
termite	insect
poet	writer
pudding	dessert
touch	affect
register	affect
square	number
sale	agreement
crown	vertex
north	direction
cavity	space
correlate	match
immunity	invulnerability
sail	structure
compress	wedge
bloc	alliance
differentiate	dissimilate
visit	afflict
voodoo	cult
tailor	adapt
award	grant
imam	leader
stooge	act
tightrope	rope
edition	issue
brainwash	indoctrinate
scale	reach
appeal	proceed
emirate	position
tao	pueblo
land	arrive
check	bill
flux	rate
till	soil
messiah	savior
repression	control
patty	candy
snag	hew
offspring	consequence
storm	blow
minstrel	sing
portal	entrance
record	fact
chinchilla	coat
bailey	court
exhaust	empty
scuffle	hoe
strike	pitch
pollack	gadoid
honeycomb	structure
dateline	date
upstage	treat
darn	repair
primitive	person
shell	emerge
dishwasher	laborer
fiefdom	domain
refresher	beverage
scoop	remove
settle	accept
stride	advancement
sap	solution
commercialize	change
support	influence
seal	device
corn	cereal
blanch	cook
smoothness	effortlessness
help	promote
cub	novice
failure	fortune
pride	satisfaction
acquaintance	relationship
lock	engage
staple	fasten
worry	perturb
bless	prayer
catch	attract
bury	implant
howl	noise
torture	persecution
pallet	platform
straitjacket	garment
divert	withdraw
solo	activity
soy	legume
pack	package
sombrero	hat
price	determine
crouch	bend
verge	bind
clarion	brass
entertain	contemplate
simple	herb
master	record
whine	complain
orient	position
spelt	wheat
reuben	sandwich
rouge	makeup
rim	hoop
huddle	cluster
price	cost
phrase	arrange
tusk	tooth
birth	begin
add	form
luxury	wealth
tenderness	compassion
motivation	act
fly	change
pacify	establish
assimilation	relationship
grotto	cave
thai	tai
petter	lover
envision	imagine
modesty	decency
construction	constituent
ogre	giant
wadi	gully
glass	insert
swagger	act
certificate	award
shy	startle
maneuver	motion
burglary	felony
wire	string
place	item
hand	collection
reveille	awaken
spool	wind
run	move
archipelago	land
reaction	force
irish	whiskey
smother	kill
plot	tract
rocker	musician
reflector	device
italian	european
center	position
fox	fur
bounce	eject
stock	lumber
pot	implant
undergo	change
marble	rock
wine	regale
conglomeration	sphere
roper	decoy
recite	re-create
clam	shellfish
cool	change
lavender	shrub
text	passage
butt	stock
train	teach
outwit	surpass
refusal	denial
restructure	structure
mildew	fungus
simpleton	person
hail	object
gamble	speculation
menu	bill
case	person
anoint	application
hacienda	house
drunkard	drinker
list	lean
substitute	exchange
cognizance	know
ban	prohibition
minimum	limit
groan	utter
absolve	forgive
cheer	applaud
doodle	draw
stucco	coat
theorem	idea
guidance	management
poison	change
smorgasbord	buffet
fade	termination
saver	owner
disappearance	happen
biometrics	statistic
testimony	assertion
rat	defect
reversible	garment
scrapbook	album
neighbor	border
paddle	swim
stile	upright
geisha	japanese
hesitate	delay
eagerness	enthusiasm
loss	decline
void	space
admiration	bless
fibrillation	twitch
decode	cryptography
unwind	move
selflessness	cooperation
asian	inhabitant
installment	payment
discrepancy	difference
videocassette	cassette
pick	provoke
tropic	latitude
invitation	letter
slop	food
bore	excavation
rag	week
heaviness	sadness
declare	affirm
shipbuilding	construction
clutter	noise
jaw	bone
west	location
detail	information
wright	craftsman
hand	side
waterproof	coat
karen	tibeto-burman
hope	desire
thermostat	regulator
pin	promise
scramble	travel
wet	change
snatch	weightlift
sit	serve
bluff	deception
firewood	fuel
partnership	business
assign	choose
volley	discharge
stretcher	litter
disunity	disagreement
proof	produce
bow	thank
placement	activity
double	multiplication
influence	consequence
catch	get
deviation	statistic
tiebreaker	overtime
inculcate	drill
excuse	absolve
bookcase	furniture
scavenger	animal
cabin	compartment
wrestle	battle
hangover	survival
tyrant	person
enactment	legislation
homophobia	bias
nip	cut
immigrate	migrate
embroidery	needlework
omission	disregard
helplessness	dependence
take	win
answer	state
poison	corrupt
latvian	european
accept	receive
microbiology	biology
cough	expectorate
revival	improvement
jacob	patriarch
catheterization	operation
aperture	hole
fascination	enchantment
race	compete
heroine	woman
magnification	expansion
fund	invest
clothe	cover
sideline	demote
reinstatement	condition
wound	person
well	source
research	investigate
simulation	model
gospel	truth
salon	shop
flank	formation
slick	comb
construction	interpretation
sheep	follower
toehold	foothold
desirability	good
discomfort	suffer
supply	give
smallness	amount
cover	broach
ute	shoshonean
proportional	quantity
icon	symbol
interpreter	program
tumble	toss
acknowledge	accept
malt	milkshake
suitor	admirer
pharmacology	medicine
blow	move
reign	govern
devour	enjoy
crawl	travel
wash	stand
sink	descend
attend	care
sharpshooter	schooner
source	obtain
frontier	boundary
understudy	actor
decker	artifact
volition	faculty
legitimacy	lawfulness
order	state
japan	lacquer
indigo	shrub
backup	duplicate
wear	deterioration
career	progress
appropriateness	propriety
subscribe	agree
cookie	text
ally	consort
response	manner
shag	tobacco
pull	force
think	belief
refectory	dining-hall
replicate	duplicate
rep	fabric
enslavement	capture
blender	mixer
capitalist	person
cooperation	practice
stock	have
american	inhabitant
californian	american
identifier	symbol
relieve	mitigate
curtain	furnish
tyrant	dictator
raise	make
finalize	end
stir	move
kurdish	iranian
point	measure
letter	award
dirt	dirtiness
measure	abstraction
meow	utter
entail	estate
wrack	destruction
european	inhabitant
forceps	extractor
bushman	nomad
presbyterian	protestant
appreciation	thank
claw	extremity
glance	hit
devastate	overwhelm
snowball	ball
visibility	salience
reference	action
rifle	search
hit	consume
fix	change
whoop	cry
wallow	delight
keel	carina
vision	experience
cloak	cover
gape	stare
namibian	african
naturalist	philosopher
nest	retreat
wind	exhalation
bind	relate
alight	land
founder	sink
eat	consume
agape	love
organize	initiate
battery	team
businessperson	capitalist
dehydration	thirst
hang	execute
couple	unit
rome	leadership
coverage	news
composer	musician
parole	promise
termination	end
mulch	cover
vignette	photograph
loop	circle
gent	gentleman
mimic	imitate
telemarketing	sell
weasel	person
button	add
feline	carnivore
thrush	singer
detox	ward
luster	glaze
covet	envy
repudiation	rejection
shyness	timidity
bud	sprout
infatuation	passion
let	induce
belch	reflex
then	point
arbitrage	trade
administer	give
dwell	exist
dispensation	distribution
clinic	session
sprawl	position
abhorrence	hate
activism	policy
beach	land
carrier	chemical
cobble	repair
soak	heat
culture	taste
reality	actuality
greek	european
finisher	racer
blast	bombard
halogen	group
precipitate	descend
encourage	inspire
herr	title
lineup	line
comprehension	understand
infiltration	penetration
trance	unconsciousness
cur	coward
posture	conceit
jean	workwear
undertone	tone
shell	remove
literature	write
helmet	headdress
finisher	worker
trade	occupation
punch	blow
thread	guide
comb	plate
accelerator	pedal
booster	dose
resourcefulness	resource
pyramid	arrange
repayment	payment
malfunction	fail
readiness	state
accuse	charge
dip	swim
orchestrator	arranger
imprint	stamp
western	sandwich
horn	process
onslaught	trouble
peeve	temper
grace	state
wicca	cult
remover	mover
optimize	act
game	contest
affirm	declare
multiplex	telecommunication
booster	thief
brake	stop
logistics	provision
diocese	jurisdiction
bridle	answer
topper	wit
metamorphosis	transformation
barrister	lawyer
honor	conformity
toe	force
fort	station
revoke	cancel
rib	remark
dollar	bill
meter	quantify
surfeit	fullness
rotation	turn
regard	look
like	kind
flagpole	staff
televangelist	evangelist
wish	desire
caffeine	alkaloid
vault	jump
closet	confine
retraction	motion
fear	emotion
elimination	analysis
eulogy	praise
rank	line
splash	noise
feel	look
simplicity	quality
advantage	benefit
footnote	note
disposition	property
czar	tyrant
class	league
strange	person
session	conference
yang	principle
play	compete
forsake	renunciation
brush	cover
schlock	merchandise
clinch	maneuver
fall	slope
third	rank
hell	region
laxative	purgative
underdog	failure
glengarry	cap
kleenex	tissue
canon	priest
humor	playfulness
make	cause
strike	read
master	creation
restrict	limit
harrow	plow
blur	weaken
keep	have
stratification	condition
sinker	weight
picture	typification
buffalo	overawe
peony	flower
urethra	duct
capacity	function
slovene	slavic
maturity	date
hysteria	fear
shine	be
philosophy	belief
backhand	hit
discord	disagreement
scrum	begin
chopper	tooth
successor	peer
brass	decoration
testament	creed
drug	agent
tan	trade
shark	cheat
disclaimer	repudiation
layer	artifact
breaker	quarryman
preach	lecture
shin	cut
palatine	bone
chef	cook
rent	tear
fulcrum	pivot
starlight	light
back	finance
angler	schemer
juniper	cypress
shadow	pursuit
gainer	dive
seaplane	airplane
cutoff	device
detector	rectifier
gaff	spike
fellowship	aid
fresco	paint
nautilus	submarine
curator	custodian
enamel	coat
average	total
bribe	pay
naturalness	likeness
warrant	security
suffocate	obstruct
pitcher	containerful
hush	water
mold	soil
collector	person
dump	discard
evaluator	authority
cover	touch
alarmist	communicator
municipality	gather
telescope	digest
precursor	material
sell	surrender
skate	glide
tin	plate
programmer	engineer
misfortune	fortune
smack	taste
pace	rate
pate	top
structure	cognition
kitchen	room
carbohydrate	macromolecule
develop	play
coven	assembly
blaze	depart
school	teach
redeem	exchange
flag	sign
starter	contestant
mix	combine
petitioner	applicant
component	part
loan	debt
butterfly	flit
oregano	origanum
racket	noise
feel	experience
inhalation	breath
methane	gas
blindfold	cover
suite	apartment
yawn	reflex
baptist	protestant
sob	cry
express	denote
extension	longness
juice	energy
monkey	primate
illinois	algonquian
manual	handbook
attraction	force
ebb	recede
start	advantage
receive	celebrate
spartan	greek
criticism	write
missile	rocket
investigate	probe
ding	sound
speedway	racetrack
field	region
peanut	legume
medium	substance
relation	deal
overhead	return
alderman	representative
workaholic	compulsive
hunt	search
tower	structure
thatch	hairdo
ramp	model
flatness	taste
depress	low
somersault	tumble
hypnotize	sedate
hypothesis	proposal
pyramid	deal
override	predominate
assay	substance
virtue	morality
tie	fasten
sink	decrease
decapitation	execution
front	confront
behest	command
conspire	interact
sedan	litter
skeleton	scandal
maximize	increase
breeze	wind
impound	restrain
shore	bind
lash	tie
sequester	take
piece	help
bonus	payment
poplar	wood
carry	travel
house	community
sedition	misdemeanor
atropine	alkaloid
berate	rebuke
like	see
tap	plug
strain	nervousness
explode	increase
inhibit	restrict
turntable	platform
hare	leporid
overshoot	blast
retire	recall
hymn	sing
news	information
internationalism	doctrine
double	badminton
caution	warn
space	placement
counterclaim	claim
hazel	brown
write	trace
huddle	crowd
rack	try
grind	reach
bear	support
depreciation	decrease
jealousy	envy
melon	gourd
crack	tell
hall	room
trunk	baggage
present	time
acquisition	acquire
sphinx	person
warrior	person
overrule	rule
abduction	motion
charge	cost
independence	victory
barbecue	cookout
gallery	balcony
buff	compound
astrophysicist	astronomer
telegraph	apparatus
lagoon	lake
bend	inclination
carrier	organism
watcher	person
absorb	sorb
fowler	hunter
toner	lotion
blockade	obstruction
iodide	halide
blast	fly
blur	representation
dynamo	generator
score	incision
humanist	scholar
acreage	area
concede	admit
aesthetic	philosophy
emerge	surface
seat	furniture
polyp	growth
specialization	career
manhole	hole
cusp	flap
field	handle
bring	make
transfusion	action
wallop	blow
business	sector
heretic	nonconformist
skate	ray
putter	work
supermodel	mannequin
fetch	action
approximation	join
cost	necessitate
shade	change
subject	thing
localize	restrict
community	ownership
professional	athlete
refresh	regenerate
maintain	affirm
print	write
mature	develop
electricity	energy
ink	liquid
utopian	reformer
inside	surface
transcendence	be
deny	control
adhere	adopt
jerk	misfit
bib	napkin
revolve	turn
phi	letter
volatility	irresoluteness
thing	happen
conclude	agree
honesty	righteousness
boyfriend	lover
joke	wit
continue	talk
stick	punishment
step	travel
retaliation	return
waste	discard
colonialism	exploitation
rejuvenate	regenerate
significance	mean
knit	needlework
saddle	seat
platter	flatware
totem	emblem
overreaction	reaction
raceway	canal
donkey	emblem
opinion	judgment
retardant	agent
leadership	status
reentry	return
unison	agreement
microscope	magnifier
dash	elegance
sheet	expanse
examine	question
cancer	person
snuff	inhale
glaze	coat
procure	obtain
core	torus
intimidation	fear
copy	write
stake	fasten
demand	request
care	protection
bead	decoration
bank	reserve
scatter	shower
chinaman	bowl
underbelly	abdomen
crawl	swim
accretion	addition
showboat	steamboat
overpower	beat
make	act
sign	contract
rapport	affinity
oak	wood
mouthpiece	tube
napalm	gasoline
beep	sound
striker	athlete
michael	archangel
happen	event
explosion	increase
decision	judgment
transport	diffusion
retirement	termination
epinephrine	hormone
rocker	support
well	vessel
siesta	nap
mess	disorderliness
utility	quality
turn	operate
row	array
swan	sweep
article	nonfiction
slop	ladle
differentiation	discrimination
wing	stage
review	evaluate
root	plant
quell	meet
suit	be
flour	foodstuff
declare	state
security	precaution
discipline	trait
countenance	face
savage	primitive
takeout	bid
specialize	modify
smash	demolish
lumberjack	jacket
cost	be
redeployment	deployment
furlough	leave
recognition	diplomacy
leak	disclosure
irradiation	illusion
masterpiece	accomplishment
bargain	agree
confidant	friend
peg	pierce
concept	idea
reflect	attest
invest	finance
pair	occur
pinhole	puncture
law	concept
sell	be
bey	man
phalanx	bone
share	mutuality
punk	igniter
replenish	fill
duckling	duck
core	sample
stave	slat
donor	benefactor
heat	supply
coverage	extent
manslaughter	homicide
become	fancify
sanitation	clean
counterbalance	compensation
pump	draw
tonic	note
copy	repetition
smack	snog
hoop	band
match	adjust
operate	happen
phrase	dance
map	represent
pool	stake
spark	trace
tension	condition
insecurity	danger
letter	document
perry	alcohol
islam	monotheism
scramble	change
mastodon	proboscidean
mohawk	haircut
truss	framework
clean	change
telecast	air
centrality	position
evade	act
paraphrase	reword
incorporate	include
polyp	coelenterate
duck	hunt
radio	communicate
damn	worthlessness
split	formation
totalitarian	disciple
finale	finish
mistress	lover
latitude	liberty
capsule	envelop
terrace	shape
symptom	evidence
comb	device
plan	think
runner	athlete
ecologist	biologist
shaker	sect
cross	affliction
track	belt
file	line
fry	cook
lock	hair
athleticism	energy
juncture	happen
backfire	fire
ethic	system
antiaircraft	gun
drift	accumulate
safe	strongbox
credit	title
track	path
emcee	host
maintenance	wrongdoing
assembly	machine
demolish	destroy
ration	share
cohesiveness	viscosity
ovary	gonad
mill	edge
beggar	impoverish
slick	sophisticate
equilibrium	situation
fireman	defender
veal	meat
zing	sound
carry	perform
vagueness	indistinctness
cashmere	fabric
eaves	overhang
politics	profession
transport	move
mate	beverage
gravestone	memorial
relieve	good
latitude	line
apply	denote
crash	occupy
forearm	limb
splash	sound
sake	benefit
come	exist
corridor	passageway
lemon	artifact
crossbow	bow
decompose	separate
renovation	improvement
corvette	warship
licorice	herb
beatnik	nonconformist
synthesize	compound
resonance	oscillation
hello	greet
flip	move
hell	trouble
thank	convey
furnish	instrumentality
bus	car
inhibit	restrain
deprive	withhold
tam	cap
miniature	copy
wildflower	wilding
hearth	area
speculation	investment
reconsider	see
intrusion	rock
end	surface
apostle	christian
department	division
navigate	steer
wink	gesticulate
zap	event
agitate	provoke
punctuation	group
augment	increase
break	escape
routine	procedure
worm	screw
utter	circulate
technology	profession
stream	exude
starve	deprive
malice	malevolence
reader	scholar
layer	region
terrace	tableland
distribute	give
shaver	man
steamer	ship
touch	contact
schism	division
polish	radiance
citation	award
pedal	operate
urology	medicine
resettlement	transportation
fang	canine
correct	treat
islam	civilization
concurrence	agreement
confuse	be
monument	site
incarnate	be
interlocutor	minstrel
allow	calculate
abrogation	cancellation
subcompact	car
